,Porcentaje en que se llega al estado óptimo, Tiempo de ejecucion promedio, Desviación estandar de tiempo de ejecucion, Promedio de estados, Desviación estandar de estados
Hill Climbing 4 Reinas, 30.0,0.00023160775502522785,0.0004270388066823074,1.6333333333333333,0.7648904962570575
Hill Climbing 8 Reinas,13.333333333333334, 0.003724821408589681,0.001592451466656917,2.3333333333333335, 1.0523044392039604
Hill Climbing 10 Reinas,0.0,0.007316263516743978, 0.0015424712854187153,2.7777777777777777,1.178246438213817
Simulated Anneling 4 Reinas,100.0, 0.0004998683929443359,0.000683019325693281,23.133333333333333,22.140201122553663
Simulated Anneling 8 Reinas,66.66666666666666,0.007747069994608561,0.004824990431098866,68.36666666666666,30.942085315604714
Simulated Anneling 10 Reinas,30.0, 0.012802648544311523,0.004131968596611642,91.1,18.289529697390368
Genetico 4 Reinas, 93.33333333333333,0.4861367623011271,1.5382683929384142,8.3,24.94566509228711
Genetico 8 Reinas,50.0,39.579407811164856, 36.535886938005866,54.333333333333336,46.729842295042474 
Genetico 10 Reinas, 43.333333333333336,64.7919726451238, 46.81223044975447,63.96666666666667,43.855942335798915
